品種ｺｰﾄﾞ,品種名,品種名(送り状),ﾌﾘｶﾞﾅ,業者ｺｰﾄﾞ,ｸﾞﾙｰﾌﾟｺｰﾄﾞ,商品課税区分,標準単価,売上単価,標準原価,仕入原価,ﾛｲﾔﾘﾃｨ,階級ﾊﾟﾀｰﾝｺｰﾄﾞ,boxtype_from_variety,item,boxtype
14029,大箱　ｼﾞｪﾆｰ　ﾀﾞｰｸﾋﾟﾝｸ,ジェニー　ダークピンク,ｵｵﾊﾞｺ ｼﾞｪﾆｰ ﾀﾞｰｸ,2,14,0,0,0,0,0,1.85,14,大箱,Disbud,大箱
94100,大箱　ｼﾞｪﾆｰ　ﾀﾞｰｸﾋﾟﾝｸ,ジェニー　ダークピンク,ｵｵﾊﾞｺ ｼﾞｪﾆｰ ﾀﾞｰｸﾋﾟﾝｸ,2,94,0,0,0,0,0,1.85,94,大箱,ポンポン,北海道大箱
8013,大箱　ｼﾞｪﾆｰ　ﾋﾟﾝｸ,ジェニー　ピンク,ｵｵﾊﾞｺ ｼﾞｪﾆｰ ﾋﾟﾝｸ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
8010,大箱　ｼﾞｪﾆｰ　ﾎﾜｲﾄ,ジェニー　ホワイト,ｵｵﾊﾞｺ ｼﾞｪﾆｰ ﾎﾜｲﾄ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
8012,大箱　ｼﾞｪﾆｰ　ﾗｲﾄﾋﾟﾝｸ,ジェニー　ライトピンク,ｵｵﾊﾞｺ ｼﾞｪﾆｰ ﾗｲﾄﾋﾟﾝｸ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2232,大箱　ｼｪﾎﾟﾃﾞｨ,シェポディ,ｵｵﾊﾞｺ ｼｪﾎﾟﾃﾞｨｼｪ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2291,大箱　ｼｴﾝﾅ,シエンナ,ｵｵﾊﾞｺ ｼｴﾝﾅ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8182,大箱　ｼﾛｰﾈ,シローネ,ｵｵﾊﾞｺ ｼﾛｰﾈ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2312,大箱　ｼﾝｸﾚｱ,シンクレア,ｵｵﾊﾞｺ ｼﾝｸﾚｱ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2270,大箱　ｼﾝﾁｱ,シンチア,ｵｵﾊﾞｺ ｼﾝﾁｱ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8103,大箱　ｽｰﾊﾟｰ,スーパー,ｵｵﾊﾞｺ ｽｰﾊﾟｰ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2206,大箱　ｽﾉｰﾌﾚｰｸ,スノーフレーク,ｵｵﾊﾞｺ ｽﾉｰﾌﾚｰｸ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2207,大箱　ｽﾜﾝ,スワン,ｵｵﾊﾞｺ ｽﾜﾝ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
2264,大箱　ｾﾚｽﾃｨﾝ,セレスティン,ｵｵﾊﾞｺ ｾﾚｽﾃｨﾝ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2216,大箱　ｾﾚﾓ,セレモ,ｵｵﾊﾞｺ ｾﾚﾓ,8,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
40005,大箱　ｾﾚﾓ(定期),セレモ(定期),ｵｵﾊﾞｺ ｾﾚﾓﾃｲｷ,8,40,0,0,0,0,0,2,40,大箱,スプレー(定期),大箱
95851,大箱　ｾﾚﾝ,セレン,ｵｵﾊﾞｺ ｾﾚﾝ,5,95,0,0,0,0,0,2,95,大箱,Disbud,北海道大箱
2079,大箱　ｾﾞﾝﾌﾞﾗ,ゼンブラ,ｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2084,大箱　ｾﾞﾝﾌﾞﾗ　ｸﾘｰﾑ,ゼンブラ　クリーム,ｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ ｸﾘｰﾑ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2083,大箱　ｾﾞﾝﾌﾞﾗ　ｻﾆｰ,ゼンブラ　サニー,ｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ ｻﾆｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2081,大箱　ｾﾞﾝﾌﾞﾗ　ﾌｧﾝｷｰ,ゼンブラ　ファンキー,ｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ ﾌｧﾝｷｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2082,大箱　ｾﾞﾝﾌﾞﾗ　ﾌﾞﾗｼﾞﾙ,ゼンブラ　ブラジル,ｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ ﾌﾞﾗｼﾞﾙ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2080,大箱　ｾﾞﾝﾌﾞﾗ　ﾗｲﾑ,ゼンブラ　ライム,ppﾅｺｵｵﾊﾞｺ ｾﾞﾝﾌﾞﾗ ﾗｲﾑ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8144,大箱　ｿﾌｨｱ,ソフィア,ｵｵﾊﾞｺ ｿﾌｨｱ,4,8,0,0,0,0,0,0,8,大箱,ポンポン(小輪),大箱
2061,大箱　ﾀﾞﾌﾞﾘﾝ,ダブリン,ｵｵﾊﾞｺ ﾀﾞﾌﾞﾘﾝ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2062,大箱　ﾀﾞﾌﾞﾘﾝ　ﾀﾞｰｸｵﾚﾝｼﾞ,ダブリン　ダークオレンジ,ｵｵﾊﾞｺ ﾀﾞﾌﾞﾘﾝ ﾀﾞｰｸｵﾚﾝ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2087,大箱　ﾀﾞﾝﾃ,ダンテ,ｵｵﾊﾞｺ ﾀﾞﾝﾃ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2088,大箱　ﾀﾞﾝﾃ　ｲｴﾛｰ,ダンテ　イエロー,ｵｵﾊﾞｺ ﾀﾞﾝﾃ ｲｴﾛｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2089,大箱　ﾀﾞﾝﾃ　ﾊﾟｰﾌﾟﾙ,ダンテ　パープル,ｵｵﾊﾞｺ ﾀﾞﾝﾃﾀﾞﾝﾃ ﾊﾟｰﾌﾟ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2090,大箱　ﾀﾞﾝﾃ　ﾚｯﾄﾞ,ダンテ　レッド,ｵｵﾊﾞｺ ﾀﾞﾝﾃ ﾚｯﾄﾞ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2460,大箱　ﾀﾞﾝﾃﾞｨ,ダンディ,ｵｵﾊﾞｺ ﾀﾞﾝﾃﾞｨ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8140,大箱　ﾁｰｸｽ,チークス,ｵｵﾊﾞｺ ﾁｰｸｽ,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
2267,大箱　ﾁｶﾔﾋﾟﾝｸ,チカヤピンク,ｵｵﾊﾞｺ ﾁｶﾔﾋﾟﾝｸ,2,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2271,大箱　ﾃﾞｨｱﾝｻ,ディアンサ,ｵｵﾊﾞｺ ﾃﾞｨｱﾝｻ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2239,大箱　ﾃｯﾄﾞ,テッド,ｵｵﾊﾞｺ ﾃｯﾄﾞ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8142,大箱　ﾃﾞﾘﾛｯｸ,デリロック,ｵｵﾊﾞｺ ﾃﾞﾘﾛｯｸ,5,8,0,0,0,0,0,2,8,大箱,ポンポン(小輪),大箱
8143,大箱　ﾅﾎﾞﾅ,ナボナ,ｵｵﾊﾞｺ ﾅﾎﾞﾅ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2211,大箱　ﾈﾊﾞ,ネバ,ｵｵﾊﾞｺ ﾈﾊﾞ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2057,大箱　ﾉｱ,ノア,ｵｵﾊﾞｺ ﾉｱ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2058,大箱　ﾉｱ　ｲｴﾛｰ,ノア　イエロー,ｵｵﾊﾞｺ ﾉｱ ｲｴﾛｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2261,大箱　ﾊﾞﾙｾｷﾛ,バルセキロ,ｵｵﾊﾞｺ ﾊﾞﾙｾｷﾛ,2,2,0,0,0,0,0,1.7,2,大箱,スプレー,大箱
2097,大箱　ﾊﾞﾙﾃｨｶ　ｲｴﾛｰ,バルティカ　イエロー,ｵｵﾊﾞｺ ﾊﾞﾙﾃｨｶ ｲｴﾛｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
